id;name;email;phone_number;labels
1;Clarice Uzzell;cuzzell0@mozilla.org;4,99E+11;lead
2;Marieann Creegan;mcreegan1@cornell.edu;15417543010;lead
3;Nancey Windibank;nwindibank2@bluehost.com;15417543011;lead
4;Sibel Stennine;sstennine3@yellowbook.com;15417543011;lead
5;Tina O'Lunney;tolunney4@si.edu;15417543011;lead
6;Quinn Neve;qneve5@army.mil;15417543011;lead
7;Karylin Gaunson;kgaunson6@tripod.com;15417543011;lead
8;Jamison Shenton;jshenton7@upenn.edu;15417543011;lead
9;Gavan Threlfall;gthrelfall8@spotify.com;15417543011;lead
10;Katina Hemmingway;khemmingway9@ameblo.jp;15417543011;lead
11;Jillian Deinhard;jdeinharda@canalblog.com;15417543011;lead
12;Blake Finden;bfindenb@wsj.com;15417543011;lead
13;Liane Maxworthy;lmaxworthyc@un.org;15417543011;lead
14;Martynne Ledley;mledleyd@sourceforge.net;15417543011;lead
15;Katharina Ruffli;krufflie@huffingtonpost.com;15417543011;lead
16;Tucker Simmance;tsimmancef@bbc.co.uk;15417543011;lead
17;Wenona Martinson;wmartinsong@census.gov;15417543011;lead
18;Gretna Vedyasov;gvedyasovh@lycos.com;15417543011;lead
19;Lurline Abdon;labdoni@archive.org;15417543011;lead
20;Fiann Norcliff;fnorcliffj@istockphoto.com;15417543011;lead
21;Zed Linn;zlinnk@phoca.cz;15417543011;lead
22;Averyl Simyson;asimysonl@livejournal.com;15417543011;lead
23;Camella Blackadder;cblackadderm@nifty.com;15417543011;lead
24;Aurie Spatig;aspatign@printfriendly.com;15417543011;lead
25;Adrienne Bellard;abellardo@cnn.com;15417543011;"lead,new"
